Cov Type,n components 0,n components 1,error rate,actDCF,minDCF
full,1,1,13.949999999999996,0.6641225038402456,0.2629128264208909
full,1,2,13.200000000000001,0.6680907578084996,0.2648969534050179
full,1,4,7.650000000000001,0.4831029185867895,0.2138856886840758
full,1,8,5.700000000000005,0.3118599590373784,0.1849558371735791
full,1,16,5.6499999999999995,0.25118407578084995,0.1586021505376344
full,1,32,5.700000000000005,0.3216365847414235,0.16085829493087556
full,2,1,11.799999999999999,0.6544898873527906,0.21812596006144394
full,2,2,11.450000000000005,0.6152233742959549,0.21599782386072708
full,2,4,6.899999999999995,0.39138504864311313,0.2233742959549411
full,2,8,4.949999999999999,0.27259344598054275,0.18596390168970814
full,2,16,5.200000000000005,0.2523201484895033,0.16980286738351255
full,2,32,5.100000000000005,0.2843541986687148,0.19078020993343575
full,4,1,12.050000000000004,0.6525057603686636,0.23300691244239632
full,4,2,11.799999999999999,0.6534978238607271,0.23172683051715307
full,4,4,7.050000000000001,0.4256912442396313,0.21614183307731696
full,4,8,5.100000000000005,0.2927227342549923,0.18978814644137226
full,4,16,5.449999999999999,0.2714573732718894,0.16753072196620583
full,4,32,5.35,0.30958781362007165,0.19220430107526879
full,8,1,10.7,0.601334485407066,0.18282770097286227
full,8,2,10.250000000000004,0.5922619047619047,0.1798515104966718
full,8,4,6.799999999999995,0.3583589349718382,0.19375640040962622
full,8,8,4.649999999999999,0.2968349974398361,0.18356374807987713
full,8,16,4.949999999999999,0.27259344598054275,0.15364183307731694
full,8,32,4.800000000000004,0.30576356886840755,0.1637064772145417
full,16,1,11.550000000000004,0.6719310035842294,0.18042754736303124
full,16,2,11.299999999999999,0.6537858422939067,0.1853878648233487
full,16,4,7.499999999999996,0.4218669994879673,0.1876600102406554
full,16,8,5.149999999999999,0.31200396825396826,0.17945148489503326
full,16,16,5.400000000000005,0.29782706093189965,0.15817012288786486
full,16,32,5.000000000000004,0.2927227342549923,0.16681067588325652
