App prior,Mode,Model,actDCF,minDCF
0.5,No PCA,MVG,0.13992895545314898,0.13016833077316947
0.5,No PCA,Tied MVG,0.18602790578597028,0.18124359959037378
0.5,No PCA,Naive Bayes MVG,0.14392921146953405,0.1311283922171019
0.5,PCA - 1 directions,MVG,0.18500384024577574,0.17690732206861237
0.5,PCA - 1 directions,Tied MVG,0.1870199692780338,0.17690732206861237
0.5,PCA - 1 directions,Naive Bayes MVG,0.18500384024577574,0.17690732206861237
0.5,PCA - 2 directions,MVG,0.17599526369687662,0.17308307731694828
0.5,PCA - 2 directions,Tied MVG,0.1850358422939068,0.1788594470046083
0.5,PCA - 2 directions,Naive Bayes MVG,0.17697132616487454,0.1710189452124936
0.5,PCA - 3 directions,MVG,0.17589925755248337,0.17343509984639016
0.5,PCA - 3 directions,Tied MVG,0.18500384024577574,0.18301971326164873
0.5,PCA - 3 directions,Naive Bayes MVG,0.1799315156169995,0.17461917562724014
0.5,PCA - 4 directions,MVG,0.1609383000512033,0.15372183819764465
0.5,PCA - 4 directions,Tied MVG,0.18501984126984128,0.18210765488991296
0.5,PCA - 4 directions,Naive Bayes MVG,0.17697132616487454,0.17167498719918073
0.5,PCA - 5 directions,MVG,0.141913082437276,0.13314452124935997
0.5,PCA - 5 directions,Tied MVG,0.18604390681003585,0.1811635944700461
0.5,PCA - 5 directions,Naive Bayes MVG,0.17498719918074757,0.1736911162314388
0.5,PCA - 6 directions,MVG,0.13992895545314898,0.13016833077316947
0.5,PCA - 6 directions,Tied MVG,0.18602790578597028,0.18124359959037378
0.5,PCA - 6 directions,Naive Bayes MVG,0.17799539170506912,0.1726990527393753
0.9,No PCA,MVG,0.40005760368663595,0.34230990783410137
0.9,No PCA,Tied MVG,0.46255760368663595,0.4421082949308756
0.9,No PCA,Naive Bayes MVG,0.38925691244239635,0.3509504608294931
0.9,PCA - 1 directions,MVG,0.47753456221198154,0.4341877880184332
0.9,PCA - 1 directions,Tied MVG,0.48055875576036866,0.4341877880184332
0.9,PCA - 1 directions,Naive Bayes MVG,0.47753456221198154,0.4341877880184332
0.9,PCA - 2 directions,MVG,0.44340437788018433,0.4383640552995392
0.9,PCA - 2 directions,Tied MVG,0.4785426267281106,0.4351958525345622
0.9,PCA - 2 directions,Naive Bayes MVG,0.4423963133640553,0.432315668202765
0.9,PCA - 3 directions,MVG,0.46802995391705066,0.4392281105990784
0.9,PCA - 3 directions,Tied MVG,0.45650921658986177,0.4341877880184332
0.9,PCA - 3 directions,Naive Bayes MVG,0.45910138248847926,0.43433179723502313
0.9,PCA - 4 directions,MVG,0.45982142857142855,0.4150345622119816
0.9,PCA - 4 directions,Tied MVG,0.46154953917050695,0.44412442396313373
0.9,PCA - 4 directions,Naive Bayes MVG,0.4629896313364055,0.431307603686636
0.9,PCA - 5 directions,MVG,0.39804147465437795,0.35123847926267276
0.9,PCA - 5 directions,Tied MVG,0.46255760368663595,0.44513248847926273
0.9,PCA - 5 directions,Naive Bayes MVG,0.46601382488479265,0.4340437788018433
0.9,PCA - 6 directions,MVG,0.40005760368663595,0.34230990783410137
0.9,PCA - 6 directions,Tied MVG,0.46255760368663595,0.4421082949308756
0.9,PCA - 6 directions,Naive Bayes MVG,0.4511808755760369,0.43591589861751157
0.1,No PCA,MVG,0.3051395289298515,0.2629128264208909
0.1,No PCA,Tied MVG,0.4060579877112135,0.36283922171018945
0.1,No PCA,Naive Bayes MVG,0.30216333845366106,0.25696044546851
0.1,PCA - 1 directions,MVG,0.39698540706605223,0.3686475934459805
0.1,PCA - 1 directions,Tied MVG,0.40208973374295953,0.3686475934459805
0.1,PCA - 1 directions,Naive Bayes MVG,0.39698540706605223,0.3686475934459805
0.1,PCA - 2 directions,MVG,0.3879128264208909,0.35264656938044037
0.1,PCA - 2 directions,Tied MVG,0.39599334357398874,0.36298323092677925
0.1,PCA - 2 directions,Naive Bayes MVG,0.38692076292882743,0.35618279569892475
0.1,PCA - 3 directions,MVG,0.3879128264208909,0.35632680491551455
0.1,PCA - 3 directions,Tied MVG,0.4081861239119303,0.3680875576036866
0.1,PCA - 3 directions,Naive Bayes MVG,0.39500128008192525,0.36453533026113677
0.1,PCA - 4 directions,MVG,0.352902585765489,0.3011872759856631
0.1,PCA - 4 directions,Tied MVG,0.403081797235023,0.3609991039426523
0.1,PCA - 4 directions,Naive Bayes MVG,0.39698540706605223,0.3614151305683564
0.1,PCA - 5 directions,MVG,0.30414746543778803,0.27382552483358935
0.1,PCA - 5 directions,Tied MVG,0.40506592421915,0.36482334869431643
0.1,PCA - 5 directions,Naive Bayes MVG,0.3930171530977983,0.3544706861239119
0.1,PCA - 6 directions,MVG,0.3051395289298515,0.2629128264208909
0.1,PCA - 6 directions,Tied MVG,0.4060579877112135,0.36283922171018945
0.1,PCA - 6 directions,Naive Bayes MVG,0.3920250896057347,0.3534786226318484
