PCA directions (m),λ,actDCF,minDCF,ERROR RATE (%)
1,0.0001,0.658,0.369,9.25
1,0.00031622776601683794,0.662,0.369,9.25
1,0.001,0.678,0.369,9.25
1,0.0031622776601683794,0.727,0.369,9.25
1,0.01,0.849,0.369,9.3
1,0.03162277660168379,0.957,0.369,9.35
1,0.1,0.999,0.369,9.3
1,0.31622776601683794,1.0,0.369,9.4
1,1.0,1.0,0.369,9.45
1,3.1622776601683795,1.0,0.369,9.3
1,10.0,1.0,0.369,9.7
1,31.622776601683793,1.0,0.369,9.8
1,100.0,1.0,0.369,12.8
2,0.0001,0.653,0.361,9.2
2,0.00031622776601683794,0.663,0.361,9.15
2,0.001,0.682,0.361,9.15
2,0.0031622776601683794,0.73,0.361,9.15
2,0.01,0.85,0.362,9.15
2,0.03162277660168379,0.957,0.362,9.2
2,0.1,0.999,0.361,9.25
2,0.31622776601683794,1.0,0.361,9.2
2,1.0,1.0,0.36,9.15
2,3.1622776601683795,1.0,0.361,9.4
2,10.0,1.0,0.361,9.65
2,31.622776601683793,1.0,0.361,9.6
2,100.0,1.0,0.361,12.8
3,0.0001,0.65,0.368,9.3
3,0.00031622776601683794,0.659,0.368,9.3
3,0.001,0.677,0.368,9.3
3,0.0031622776601683794,0.734,0.368,9.3
3,0.01,0.852,0.368,9.25
3,0.03162277660168379,0.957,0.368,9.25
3,0.1,0.999,0.366,9.25
3,0.31622776601683794,1.0,0.364,9.15
3,1.0,1.0,0.361,9.2
3,3.1622776601683795,1.0,0.36,9.3
3,10.0,1.0,0.359,9.35
3,31.622776601683793,1.0,0.359,9.45
3,100.0,1.0,0.359,13.0
4,0.0001,0.652,0.362,9.2
4,0.00031622776601683794,0.655,0.362,9.2
4,0.001,0.681,0.362,9.25
4,0.0031622776601683794,0.732,0.362,9.25
4,0.01,0.855,0.361,9.25
4,0.03162277660168379,0.956,0.361,9.25
4,0.1,0.999,0.358,9.25
4,0.31622776601683794,1.0,0.358,9.2
4,1.0,1.0,0.362,9.2
4,3.1622776601683795,1.0,0.363,9.25
4,10.0,1.0,0.361,9.3
4,31.622776601683793,1.0,0.361,9.65
4,100.0,1.0,0.361,12.8
5,0.0001,0.646,0.366,9.35
5,0.00031622776601683794,0.655,0.366,9.3
5,0.001,0.676,0.366,9.3
5,0.0031622776601683794,0.731,0.366,9.35
5,0.01,0.853,0.362,9.3
5,0.03162277660168379,0.955,0.364,9.3
5,0.1,0.999,0.366,9.3
5,0.31622776601683794,1.0,0.365,9.3
5,1.0,1.0,0.364,9.3
5,3.1622776601683795,1.0,0.363,9.25
5,10.0,1.0,0.362,9.4
5,31.622776601683793,1.0,0.362,9.6
5,100.0,1.0,0.362,12.9
6,0.0001,0.648,0.364,9.3
6,0.00031622776601683794,0.656,0.365,9.35
6,0.001,0.676,0.365,9.35
6,0.0031622776601683794,0.731,0.364,9.25
6,0.01,0.853,0.361,9.25
6,0.03162277660168379,0.956,0.362,9.2
6,0.1,0.999,0.364,9.25
6,0.31622776601683794,1.0,0.364,9.3
6,1.0,1.0,0.364,9.25
6,3.1622776601683795,1.0,0.364,9.25
6,10.0,1.0,0.363,9.5
6,31.622776601683793,1.0,0.362,9.6
6,100.0,1.0,0.362,12.85
