PCA directions (m),λ,actDCF,minDCF,ERROR RATE (%)
1,0.0001,0.401,0.369,9.25
1,0.00031622776601683794,0.394,0.369,9.25
1,0.001,0.401,0.369,9.25
1,0.0031622776601683794,0.416,0.369,9.25
1,0.01,0.453,0.369,9.3
1,0.03162277660168379,0.589,0.369,9.35
1,0.1,0.848,0.369,9.3
1,0.31622776601683794,0.995,0.369,9.4
1,1.0,1.0,0.369,9.45
1,3.1622776601683795,1.0,0.369,9.3
1,10.0,1.0,0.369,9.7
1,31.622776601683793,1.0,0.369,9.8
1,100.0,1.0,0.369,12.8
2,0.0001,0.394,0.361,9.2
2,0.00031622776601683794,0.397,0.361,9.15
2,0.001,0.4,0.361,9.15
2,0.0031622776601683794,0.421,0.361,9.15
2,0.01,0.461,0.362,9.15
2,0.03162277660168379,0.593,0.362,9.2
2,0.1,0.847,0.361,9.25
2,0.31622776601683794,0.995,0.361,9.2
2,1.0,1.0,0.36,9.15
2,3.1622776601683795,1.0,0.361,9.4
2,10.0,1.0,0.361,9.65
2,31.622776601683793,1.0,0.361,9.6
2,100.0,1.0,0.361,12.8
3,0.0001,0.407,0.368,9.3
3,0.00031622776601683794,0.411,0.368,9.3
3,0.001,0.413,0.368,9.3
3,0.0031622776601683794,0.407,0.368,9.3
3,0.01,0.458,0.368,9.25
3,0.03162277660168379,0.587,0.368,9.25
3,0.1,0.85,0.366,9.25
3,0.31622776601683794,0.995,0.364,9.15
3,1.0,1.0,0.361,9.2
3,3.1622776601683795,1.0,0.36,9.3
3,10.0,1.0,0.359,9.35
3,31.622776601683793,1.0,0.359,9.45
3,100.0,1.0,0.359,13.0
4,0.0001,0.41,0.362,9.2
4,0.00031622776601683794,0.405,0.362,9.2
4,0.001,0.413,0.362,9.25
4,0.0031622776601683794,0.416,0.362,9.25
4,0.01,0.448,0.361,9.25
4,0.03162277660168379,0.578,0.361,9.25
4,0.1,0.853,0.358,9.25
4,0.31622776601683794,0.995,0.358,9.2
4,1.0,1.0,0.362,9.2
4,3.1622776601683795,1.0,0.363,9.25
4,10.0,1.0,0.361,9.3
4,31.622776601683793,1.0,0.361,9.65
4,100.0,1.0,0.361,12.8
5,0.0001,0.401,0.366,9.35
5,0.00031622776601683794,0.404,0.366,9.3
5,0.001,0.41,0.366,9.3
5,0.0031622776601683794,0.422,0.366,9.35
5,0.01,0.458,0.362,9.3
5,0.03162277660168379,0.58,0.364,9.3
5,0.1,0.85,0.366,9.3
5,0.31622776601683794,0.995,0.365,9.3
5,1.0,1.0,0.364,9.3
5,3.1622776601683795,1.0,0.363,9.25
5,10.0,1.0,0.362,9.4
5,31.622776601683793,1.0,0.362,9.6
5,100.0,1.0,0.362,12.9
6,0.0001,0.402,0.364,9.3
6,0.00031622776601683794,0.405,0.365,9.35
6,0.001,0.413,0.365,9.35
6,0.0031622776601683794,0.43,0.364,9.25
6,0.01,0.457,0.361,9.25
6,0.03162277660168379,0.581,0.362,9.2
6,0.1,0.852,0.364,9.25
6,0.31622776601683794,0.995,0.364,9.3
6,1.0,1.0,0.364,9.25
6,3.1622776601683795,1.0,0.364,9.25
6,10.0,1.0,0.363,9.5
6,31.622776601683793,1.0,0.362,9.6
6,100.0,1.0,0.362,12.85
